name,uses_cleaned_llm
Acitrom 2 Tablet,Acitrom 2 Tablets are used for managing blood clot issues.
Alerid Syrup,Alerid Syrup is used for managing various allergic conditions.
Atorva Tablet,Atorva Tablet is utilized for managing high cholesterol levels and preventing the recurrence of heart attacks.
Azax 500 Tablet,Azax 500 Tablet is used for the treatment of various bacterial infections.
Aztor 10 Tablet,Aztor 10 Tablet is used for managing high cholesterol levels and preventing recurrences of heart attacks.
Alciflox D Eye/Ear Drops,"Alciflox D Eye/Ear Drops are used for the treatment of bacterial eye and ear infections, as well as eye infections associated with inflammation."
Amifru 40 Tablet,Amifru 40 Tablet is used for managing edema (swelling).
Aciloc 300 Tablet,Aciloc 300 Tablet is utilized for the management of gastroesophageal reflux disease and peptic ulcer disease.
Augmentin 1.2gm Injection,Augmentin 1.2gm Injection is used for the treatment of various bacterial infections.
Asthakind Expectorant Sugar Free,Asthakind Expectorant Sugar Free is intended for the relief of cough associated with excessive mucus production.
Atorva 20 Tablet,Atorva 20 Tablet is used for managing high cholesterol levels and preventing recurrent heart attacks.
AB Phylline SR 200 Tablet,"AB Phylline SR 200 Tablet is used for the management of conditions such as asthma, bronchitis, and chronic obstructive pulmonary disease (COPD)."
Aricep-M  Forte Tablet,Aricep-M Forte Tablet is used for the treatment of Alzheimer's disease.
Amaryl 1mg Tablet,Amaryl 1mg Tablet is used for the management of Type 2 diabetes mellitus.
Add Tears Lubricant Eye Drop,Add Tears Lubricant Eye Drop is designed for the relief of symptoms associated with dry eyes.
Aceclo-MR Tablet,Aceclo-MR Tablet is used for the relief of muscular pain.
Atarax Drops,Atarax Drops is utilized for managing anxiety symptoms and treating skin conditions associated with inflammation and excessive itching.
Ambrodil-LX Syrup,Ambrodil-LX Syrup is used for the relief of coughs associated with mucus production.
Asthakind-LS Expectorant Cola Sugar Free,Asthakind-LS Expectorant Cola Sugar Free is utilized for the management of coughs associated with mucus production.
Acton-OR Tablet SR,Acton-OR Tablet SR is used for the alleviation of pain and reduction of fever symptoms.
Avamys Nasal Spray,Avamys Nasal Spray is utilized for the relief of symptoms such as sneezing and a runny nose resulting from allergic rhinitis.
AB Phylline N Tablet,AB Phylline N Tablet is used for the management of chronic obstructive pulmonary disease (COPD).
Acenac-P  Tablet,Acenac-P Tablet is utilized for pain relief purposes.
Aldactone 50 Tablet,"Aldactone 50 Tablet is utilized for managing conditions such as hypertension, edema, low potassium levels, and heart failure."
Alerid Tablet,Alerid Tablet is used for managing various allergic conditions.
Aerocort Inhaler,Aerocort Inhaler is used for the management of asthma symptoms.
Acemiz-S Tablet,Acemiz-S Tablet is used for the alleviation of pain.
Asthalin Respules,Asthalin Respules is utilized for the management of chronic obstructive pulmonary disease (COPD) and asthmatic conditions.
Azeflo Nasal Spray,Azeflo Nasal Spray is utilized for alleviating symptoms of sneezing and a runny nose caused by allergies.
Ace Proxyvon Tablet,Ace Proxyvon Tablet is used for pain relief.
Antiflu 75mg Capsule,Antiflu 75mg Capsule is used for the treatment of influenza (flu).
Augmentin 375 Tablet,Augmentin 375 Tablet is used for the treatment of various bacterial infections.
Admenta 5 Tablet,Admenta 5 Tablet is used for the treatment of Alzheimer's disease.
Azmarda 50mg Tablet,Azmarda 50mg Tablet is utilized for the treatment of heart failure.
Alerid-D Tablet,Alerid-D Tablet is utilized for alleviating symptoms of sneezing and a runny nose caused by allergies.
Aldosmin 500mg Tablet,Aldosmin 500mg Tablet is used for the treatment of varicose veins.
Allercet-DC Tablet,Allercet-DC Tablet is utilized for alleviating symptoms of sneezing and a runny nose caused by allergies.
Amlip 5 Tablet,Amlip 5 Tablet is utilized for the management of hypertension (high blood pressure) and angina (chest pain due to reduced blood supply to the heart).
Acitrom 1 Tablet,Acitrom 1 Tablet is used for managing blood clots.
AF 400 Tablet,AF 400 Tablet is used for the treatment of fungal infections.
Amlopres-AT Tablet,Amlopres-AT Tablet is used for the management of hypertension (high blood pressure).
Aztolet  10 Tablet,Aztolet 10 Tablet is utilized for the prevention of heart attacks and management of high cholesterol levels.
Azikem 500mg Tablet,Azikem 500mg Tablet is used for treating various bacterial infections.
Amlovas 5 Tablet,Amlovas 5 Tablet is used for managing hypertension (high blood pressure) and angina (chest pain due to reduced blood supply to the heart).
Acenac-MR Tablet,Acenac-MR Tablet is used for relieving muscular pain.
AF 150 Tablet DT,AF 150 Tablet DT is utilized for treating various fungal infections.
Atorlip-F Tablet,Atorlip-F Tablet is utilized for the management of high cholesterol levels and prevention of heart attacks.
A-Ret 0.1% Gel,A-Ret 0.1% Gel is utilized for the treatment of acne and acute promyelocytic leukemia.
Apdrops PD Eye Drop,Apdrops PD Eye Drops are utilized for treating bacterial eye infections.
AB-Flo Capsule,"AB-Flo Capsule is utilized for the management of asthma, bronchitis, and chronic obstructive pulmonary disease (COPD)."
Amantrel Tablet,Amantrel Tablet is used for managing symptoms of Parkinson's disease.
Azithral XL 200 Liquid,Azithral XL 200 Liquid is utilized for the treatment of various bacterial infections.
Aquazide 12.5 Tablet,Aquazide 12.5 Tablet is utilized for managing hypertension (high blood pressure) and edema (swelling due to fluid retention).
A-Ret 0.05% Gel,A-Ret 0.05% Gel is used for the treatment of acne as well as Acute Promyelocytic Leukemia (APL).
Althrocin 250 Tablet,Althrocin 250 Tablet is used for the treatment of various bacterial infections.
Alkasol Oral Solution Sugar Free,Alkasol Oral Solution Sugar Free is utilized for managing conditions such as gout and kidney stones.
Ajaduo 25mg/5mg Tablet,Ajaduo 25mg/5mg Tablet is utilized for the management of Type 2 diabetes mellitus.
Aldosmin 1000mg Tablet,Aldosmin 1000mg Tablet is used for managing varicose veins.
Allegra Nasal Spray,Allegra Nasal Spray is utilized for relieving symptoms such as sneezing and a runny nose that are caused by allergies.
Advent Forte 457mg Syrup Tangy Orange,"Advent Forte 457mg Syrup Tangy Orange is used for the treatment of tuberculosis, as well as resistant and bacterial infections."
Andial 2mg Tablet,Andial 2mg Tablet is used for the treatment of diarrhea.
Alkof DX Syrup,Alkof DX Syrup is utilized for the management of dry coughs.
Anafortan Syrup,Anafortan Syrup is used for managing abdominal pain.
Amlodac 5 Tablet,Amlodac 5 Tablet is used for the treatment of hypertension (high blood pressure) and angina (chest pain due to reduced blood flow to the heart).
Acivir 800 DT Tablet,"Acivir 800 DT Tablet is used for treating various forms of herpes virus infections, including Herpes simplex, Chickenpox, Herpes labialis (cold sores), Shingles (herpes zoster), and genital herpes."
Amaryl 2mg Tablet,Amaryl 2mg Tablet is used for the management of Type 2 diabetes mellitus.
Alaspan AM Tablet,Alaspan AM Tablet is used for the alleviation of cough symptoms.
Anabel Liquid Gel,Anabel Liquid Gel is utilized for the treatment of mouth ulcers.
Air-M Tablet,Air-M Tablet is utilized for alleviating symptoms of sneezing and a runny nose caused by allergies.
Aziderm 10% Cream,Aziderm 10% Cream is utilized for the treatment of acne conditions.
Ace-Proxyvon CR Tablet,Ace-Proxyvon CR Tablet is utilized for providing pain relief.
Aten 50 Tablet,"Aten 50 Tablet is used for the management of hypertension (high blood pressure), angina (chest pain due to narrowed arteries), arrhythmia (irregular heart rhythm), and prevention of recurrent heart attacks."
Asthalin 4 Tablet,Asthalin 4 Tablet is used for the management of chronic obstructive pulmonary disease (COPD) and asthma.
Azithral Eye Ointment,Azithral Eye Ointment is used for the treatment of bacterial eye infections.
Aziwok 500 Tablet,Aziwok 500 Tablet is used for the treatment of bacterial infections.
Ambrolite-S Expectorant,Ambrolite-S Expectorant is utilized for the alleviation of cough symptoms.
AB-Flo SR Tablet,"AB-Flo SR Tablet is utilized for the management of respiratory conditions such as Asthma, Bronchitis, and Chronic Obstructive Pulmonary Disease (COPD)."
Ambrodil-Plus RF Syrup,Ambrodil-Plus RF Syrup is used for the treatment of common cold symptoms.
Asomex 2.5 Tablet,"Asomex 2.5 Tablet is utilized for the management of hypertension (high blood pressure), angina (chest pain due to reduced blood supply to heart muscle), prevention of recurrent heart attacks, and stroke prevention."
Amlosafe 3D Tablet,Amlosafe 3D Tablet is used for the treatment of hypertension (high blood pressure).
Alkof Syrup,Alkof Syrup is intended for the relief of coughs associated with excessive mucus production.
Angiplat 2.5 Capsule TR,Angiplat 2.5 Capsule TR is utilized for the treatment of angina.
Aten 25 Tablet,"Aten 25 Tablet is used for the management of various cardiovascular conditions such as hypertension (high blood pressure), angina (chest pain), arrhythmia (irregular heartbeat), and heart attacks."
Admenta 10 Tablet,Admenta 10 Tablet is used for the treatment of Alzheimer's disease.
Aztor 40 Tablet,Aztor 40 Tablet is used for managing high cholesterol levels as well as prevention of heart attacks.
Alkof Junior Syrup,Alkof Junior Syrup is used for managing symptoms associated with dry cough.
Azithral 100 Liquid,Azithral 100 Liquid is used for the treatment of various bacterial infections.
Azibact 500 Tablet,Azibact 500 Tablet is used for the treatment of various bacterial infections.
Amrox-LS Syrup,Amrox-LS Syrup is used to relieve symptoms of cough associated with the production of mucus.
Abzorb Antifungal Soap,Abzorb Antifungal Soap is utilized for the treatment of fungal skin infections.
Arip MT 5 Tablet,Arip MT 5 Tablet is utilized for the treatment of Schizophrenia and Mania conditions.
Axogurd-SR Tablet,Axogurd-SR Tablet is used for managing neuropathic pain.
Alfusin Tablet PR,Alfusin Tablet PR is utilized for the treatment of Benign Prostatic Hyperplasia (BPH).
ATM 500 Tablet,ATM 500 Tablet is used for the treatment of various bacterial infections.
Alerfix Total Tablet SR,Alerfix Total Tablet SR is utilized for managing respiratory tract disorders that involve the production of viscid mucus.
Advent 625 Tablet,Advent 625 Tablet is utilized for the treatment of bacterial infections.
Amlovas-AT Tablet,Amlovas-AT Tablet is used for the treatment of hypertension (high blood pressure).
Aziderm 10% Gel,Aziderm 10% Gel is utilized for the treatment of acne.
Avil 50mg Tablet,"Avil 50mg Tablet is used to treat various allergic conditions, respiratory diseases accompanied by excessive mucus, skin conditions characterized by inflammation and itching, as well as Meniere's disease."
Alivher Tablet,Alivher Tablet is used for managing erectile dysfunction.
Anafortan Injection,Anafortan Injection is used for the relief of abdominal cramps.
Aprezo 30mg Tablet,Aprezo 30mg Tablet is utilized for the treatment of plaque psoriasis.
Acnesol Gel,"Acnesol Gel is used for treating bacterial infections, particularly those associated with acne."
Amlopres 5 Tablet,Amlopres 5 Tablet is used for the management of hypertension (high blood pressure) and angina (chest pain due to reduced blood supply to heart muscle).
A-Ret 0.025% Gel,A-Ret 0.025% Gel is utilized for the treatment of acne as well as acute promyelocytic leukemia.
Actibile 300 Tablet,Actibile 300 Tablet is used for the treatment of primary biliary cirrhosis and gallbladder stones.
Alex Syrup Sugar Free,Alex Syrup Sugar Free is used for managing symptoms of dry cough.
Azee 100mg Dry Syrup Peppermint,Azee 100mg Dry Syrup Peppermint is used for the treatment of various bacterial infections.
Alex-L Cough Syrup Mango,Alex-L Cough Syrup Mango is designed for the relief of dry cough symptoms.
Amtas 5 Tablet,Amtas 5 Tablet is used for managing hypertension and angina symptoms.
Amoxyclav 375 Tablet,Amoxyclav 375 Tablet is used for the treatment of various bacterial infections.
Arbitel-Trio 50 Tablet ER,Arbitel-Trio 50 Tablet ER is utilized for the management of hypertension (high blood pressure).
Almox 250 Capsule,Almox 250 Capsule is used for the treatment of various bacterial infections.
Amlopres TL Tablet,Amlopres TL Tablet is used for managing hypertension (high blood pressure).
Asthakind-P Drops,Asthakind-P Drops are used for relieving coughs associated with the production of mucus.
Aztor 20 Tablet,Aztor 20 Tablet is utilized for managing high cholesterol levels and preventing the recurrence of heart attacks.
Azulix 1 MF Tablet PR,Azulix 1 MF Tablet PR is used for the management of Type 2 diabetes mellitus.
Aqualube Eye Drop,Aqualube Eye Drop is utilized for the treatment of dry eyes.
Ambrolite Syrup,Ambrolite Syrup is used for managing respiratory tract disorders that involve viscid mucus.
Aztor Asp 75 Capsule,Aztor ASP 75 Capsule is utilized for the treatment and prevention of heart attacks and strokes.
Acuclav 625 Tablet,Acuclav 625 Tablet is utilized for the treatment of bacterial infections.
Ascoril SF Expectorant,Ascoril SF Expectorant is used to alleviate coughs accompanied by mucus.
Acutret 20 Capsule,Acutret 20 Capsule is used for the treatment of acne.
Adalene Nanogel Gel,Adalene Nanogel Gel is used for the treatment of acne.
Anorelief Cream,Anorelief Cream is used for treating anal fissures.
Atorfit CV 10 Capsule,Atorvastatin CV 10 Capsule is used for the prevention of heart attacks and management of high cholesterol levels.
Allercet Cold Tablet,Allercet Cold Tablet is used for treating symptoms associated with the common cold.
AD 100mg Capsule,AD 100mg Capsule is used for the treatment of diarrhea.
Actrapid HM 100IU/ml Penfill,Actrapid HM 100IU/ml Penfill is used for the management of diabetes mellitus.
Arpizol 5 Tablet,Arpizol 5 Tablet is used for the treatment of Schizophrenia and Mania.
Alkacip Syrup 100ml for Kidney &amp; Gout Stone,Alkacip Syrup 100ml is utilized for managing both gout and kidney stone conditions.
Azulix 2 MF Tablet PR,Azulix 2 MF Tablet PR is utilized for the management of Type 2 diabetes mellitus.
Azilide 500 Tablet,Azilide 500 Tablet is utilized for the treatment of various bacterial infections.
Atorlip 10 Tablet,Atorlip 10 Tablet is used for the management of high cholesterol levels and as a preventive measure against heart attacks.
Augpen LB 625 Tablet,Augpen LB 625 Tablet is used for the treatment of bacterial infections.
Aceclo Sera 100mg/325mg/15mg Tablet,Aceclo Sera 100mg/325mg/15mg Tablet is utilized for providing pain relief.
Amaryl MV 2mg Tablet SR,Amaryl MV 2mg Tablet SR is used for managing Type 2 diabetes mellitus.
Acivir 200 DT Tablet,"Acivir 200 DT Tablet is utilized for the treatment of various infections caused by the Herpes simplex virus, including chickenpox, herpes labialis (cold sores), shingles, and genital herpes infection."
Amlip AT Tablet,Amlip AT Tablet is used for the management of hypertension (high blood pressure).
Axcer  90mg Tablet,Axcer 90mg Tablet is used for the prevention of heart attacks and strokes.
Acitrom 3 Tablet,Acitrom 3 Tablet is used for managing blood clot-related conditions.
Avas 10 Tablet,Avas 10 Tablet is used for managing high cholesterol levels and prevention of heart attacks.
Air 180 Tablet,"Air 180 Tablet is utilized for managing symptoms such as sneezing and a runny nose that occur due to allergies, as well as for the treatment of various allergic conditions."
Arcalion Tablet,Arcalion Tablet is used for managing symptoms of fatigue and in the treatment of Alzheimer's disease.
Apigat 2.5 Tablet,Apigat 2.5 Tablet is used for managing blood clots in the body.
Aquasurge  Eye Drop,Aquasurge Eye Drop is utilized for managing symptoms of dry eyes.
Aceclo Spas Tablet,Aceclo Spas Tablet is used for the relief of abdominal pain.
Apdrops KT 0.4 Eye Drops BAK Free,Apdrops KT 0.4 Eye Drops (BAK-Free) are designed for the treatment of bacterial eye infections.
Aciloc Injection,Aciloc Injection is utilized for managing Gastroesophageal Reflux Disease (GERD) and Peptic Ulcer Disease.
Arcolane 2% Scalp Solution,Arcolane 2% Scalp Solution is used for the treatment of fungal skin infections.
Amnurite  10 Tablet SR,Amnurite 10 Tablet SR is utilized for managing neuropathic pain.
Augpen -DS Suspension,Augpen -DS Suspension is used for the treatment of resistant cases of tuberculosis as well as various bacterial infections.
Asthalin Respirator Solution,Asthalin Respirator Solution is utilized for the management of chronic obstructive pulmonary disease (COPD) and asthma.
Atchol-F Tablet,Atchol-F Tablet is used for the management of high cholesterol levels as well as prevention of recurrent heart attacks.
Asthalin AX Syrup,Asthalin AX Syrup is used for the relief of cough associated with the production of mucus.
Alensol-D Tablet,Alensol-D Tablet is used for the treatment of osteoporosis.
Atorva 80 Tablet,Atorva 80 Tablet is used for managing high cholesterol levels and prevention of heart attacks.
Artificial Tears BP Eye Drop,Artificial Tears BP Eye Drop is intended for the relief of symptoms associated with dry eyes.
Alciflox 500mg Tablet,Alciflox 500mg Tablet is utilized for the treatment of various bacterial infections.
Amitop 10 Tablet,"Amitop 10 Tablet is used for the treatment of depression, neuropathic pain, and migraines."
Atonide Gel,Atonide Gel is utilized for managing skin conditions characterized by inflammation and itching.
Ambrodil-D Syrup,Ambrodil-D Syrup is utilized for the management of dry coughs.
Allercet Tablet,Allercet Tablet is used for managing various allergic conditions.
Apidra 100IU Cartridge,Apidra 100IU Cartridge is used for the management of diabetes.
Aquim PF Eye Drop,Aquim PF Eye Drop is utilized for the treatment of dry eye conditions.
Andre Plus Eye Drops,Andre Plus Eye Drops are used for treating various allergic eye conditions.
Acamprol Tablet,Acamprol Tablet is used for the management of alcohol addiction.
Amitryn 10 Tablet,"Amitryn 10 Tablet is utilized for the treatment of depression, neuropathic pain, and migraines."
Acnesol A Nano Gel,Acnesol A Nano Gel is specifically designed for treating acne conditions.
Acular LS Ophthalmic Solution,Acular LS Ophthalmic Solution is utilized for managing post-operative eye pain and inflammation.
Acupat Ophthalmic Solution,Acupat Ophthalmic Solution is utilized for the treatment of allergic conjunctivitis.
Adilip 135 Tablet DR,Adilip 135 Tablet DR is utilized for managing high cholesterol levels.
Augpen 625 BID Tablet,Augpen 625 BID Tablet is utilized for managing various bacterial infections.
Allercet-M Tablet,"Allercet-M Tablet is utilized for the relief of symptoms such as sneezing and a runny nose associated with allergies, hay fever, and various allergic skin conditions."
Arip MT 2 Tablet,Arip MT 2 Tablet is used for the treatment of Schizophrenia and Mania.
Aztolet  20 Tablet,Aztolet 20 Tablet is used for both the prevention of heart attacks and managing high cholesterol levels.
Acceclowoc-P Tablet,Acceclowoc-P Tablet is used for the alleviation of pain.
Ascoril Plus Expectorant,Ascoril Plus Expectorant is utilized for alleviating cough symptoms.
Amaryl MV 1mg Tablet SR,Amaryl MV 1mg Tablet SR is utilized for the management of Type 2 diabetes mellitus.
Alfusin D Tablet ER,Alfusin D Tablet ER is used for the management of benign prostatic hyperplasia.
Altraz Tablet,Altraz Tablet is used for the treatment of breast cancer.
Acivir Cream,"Acivir Cream is utilized for the treatment of herpes labialis, a common type of cold sore."
Atropine 1% Eye Drop,Atropine 1% Eye Drop is used for the treatment of myopia and uveitis in the eye.
Aquaviron Injection 1ml,Aquaviron Injection 1ml is utilized for the treatment of male hypogonadism.
Acera-D Capsule SR,Acera-D Capsule SR is utilized for the treatment of gastroesophageal reflux disease and peptic ulcer disease.
Atormac CV10 Capsule,Atormac CV10 Capsule is used for the prevention of heart attacks and management of high cholesterol levels.
Alphadol 0.25mcg Capsule,Alphadol 0.25mcg Capsule is used for the treatment of Vitamin D deficiency.
Ajaduo 10mg/5mg Tablet,Ajaduo 10mg/5mg Tablet is used for the management of Type 2 diabetes mellitus.
Apdrops DM Eye Drop,Apdrops DM Eye Drop is utilized for the treatment of bacterial eye infections.
Arbitel-Trio 25 Tablet ER,Arbitel-Trio 25 Tablet ER is used for managing hypertension (high blood pressure).
Amicline Plus Tablet,Amicline Plus Tablet is used for the treatment of diarrhea and dysentery.
Amlokind-L Tablet,Amlokind-L Tablet is used for the management of hypertension (high blood pressure).
Amrolstar Nail Lacquer,Amrolstar Nail Lacquer is used for treating fungal nail infections.
Amnurite  5 mg/1500 mcg Tablet,Amnurite 5 mg/1500 mcg Tablet is used for the management of neuropathic pain.
Acuvert Tablet,"Acuvert Tablet is used to manage symptoms such as vertigo, nausea, vomiting, migraines, and short-term anxiety."
Ambrodil Drop,"Ambrodil Drop is utilized for the treatment of coughs accompanied by mucus, acute sore throats, and respiratory tract disorders characterized by viscid mucus."
Azmarda 100mg Tablet,Azmarda 100mg Tablet is utilized for the management of heart failure conditions.
Alzil-M 5 Tablet,Alzil-M 5 Tablet is used for the treatment of Alzheimer's disease.
Amicon 10 Tablet,"Amicon 10 Tablet is used for the management of depression, neuropathic pain, and migraines."
Asomex 5 Tablet,"Asomex 5 Tablet is utilized for managing conditions such as hypertension, angina, recovery from heart attack, and prevention of stroke."
Althrocin Liquid,"Althrocin Liquid is utilized for the treatment of pertussis, diphtheria, and various bacterial infections."
Albucel 20% Infusion,Albucel 20% Infusion is utilized for short-term fluid replacement following traumatic incidents.
Apigat 5 Tablet,Apigat 5 Tablet is used for the management of blood clots.
Amlong 2.5 Tablet,Amlong 2.5 Tablet is used for the management of hypertension (high blood pressure) and angina (chest pain due to insufficient blood supply to heart).
Anxiset 0.5 Tablet,"Anxiset 0.5 Tablet is utilized for the management of conditions such as Schizophrenia, Depression, and Bipolar Disorder."
All 9 NVP Tablet,All 9 NVP Tablets are utilized for the management of nausea and vomiting during pregnancy.
Angiwell 2.6mg Tablet,Angiwell 2.6mg Tablet is used for the treatment of angina.
Almefkem Spas 10mg/250mg Tablet,Almefkem Spas 10mg/250mg Tablet is used to relieve symptoms such as menstrual pain and abdominal cramps.
Azax 250 Tablet,Azax 250 Tablet is used for the treatment of various bacterial infections.
Amlong-A Tablet,Amlong-A Tablet is utilized for managing hypertension.
Aceclo Tablet,Aceclo Tablet is utilized for providing pain relief.
